coralName,SFXTarget,SFXPublicName,OURTitle,OURLink
"[SFX Service Target - No Coral match required)",DOI,DOI,,
"[SFX Service Target - No Coral match required)",LOCAL_CATALOGUE_SIRSI_UNICORN,"the Library Catalogue",,
"[SFX Service Target - No Coral match required)",MESSAGE_CURRENT_ACCESS_LCL,"<span class='nofulltext'>No full text is available because of a publisher's <a href='http://www.library.ualberta.ca/getit/faq/#Embargo'>embargo</a> on electronic access to older issues</span>",,
"[SFX Service Target - No Coral match required)",MESSAGE_EMBARGO_PAB_LCL,"<span class='nofulltext'>Note that recently-published articles may be <a href='http://www.library.ualberta.ca/getit/faq/#Embargo'>embargoed</a></span>",,
"[SFX Service Target - No Coral match required)",MESSAGE_EMBARGO2_PAB_LCL,"<span class='nofulltext'>No full text is available because of a publisher's <a href='http://www.library.ualberta.ca/getit/faq/#Embargo'>embargo</a> on electronic access to new issues</span>",,
"[SFX Service Target - No Coral match required)",MESSAGE_NO_DOCDEL_LCL,"<span class='nofulltext'>Please use the full text or catalogue links.</span>",,
"[SFX Service Target - No Coral match required)",MESSAGE_NO_FULLTXT,"<span class='nofulltext'>Online full text is not available for this item.</span>",,
"[SFX Service Target - No Coral match required)",DOCDEL_CISTI,CISTI,,
"[SFX Service Target - No Coral match required)",DOCDEL_RELAIS,RELAIS_DDL,,
"AAPG Datapages (American Association of Petroleum Geologists)",,,,
"Academic Rights Press (Academic Charts Online)",,,,
"Access Engineering (UofA)",MCGRAW_HILL_ACCESS_ENGINEERING,"McGraw-Hill's AccessEngineering","Access Engineering","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Access_Engineering"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Acsess (Alliance of Crop, Soil, and Environmental Science Societies)",,,,
"Alberta Economic Multipliers - 2007",,,,
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_AMERICAN_HISTORY_IN_VIDEO,"Alexander Street Press American History in Video","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_AMERICAN_SONG,"Alexander Street Press American Song","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_ANTHROPOLOGY_ONLINE,"Alexander Street Press Anthropology Online","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_ASIAN_AMERICAN_DRAMA,"Alexander Street Press Asian American Drama","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_AUDIO_DRAMA,"Alexander Street Press Audio Drama: The L.A. Theatre Works Collection","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_BLACK_SHORT_FICTION_FOLKLORE,"Alexander Street Press Black Short Fiction and Folklore","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_CARIBBEAN_LITERATURE,"Alexander Street Press Caribbean Literature","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_CONTEMPORARY_WORLD_MUSIC,"Alexander Street Press Contemporary World Music","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_COUNSELING_AND_THERAPY_IN_VIDEO_VOLUME_1,"Alexander Street Press Counseling and Therapy in Video Volume 1","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_COUNSELING_AND_THERAPY_IN_VIDEO_VOLUME_2,"Alexander Street Press Counseling and Therapy in Video Volume 2","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
