"Yes","19th Century British Library Newspapers","Gale Group","UofA","No","Yes","Yes","No","No","No","No","No","No","Yes","https://tal.scholarsportal.info/alberta/Nineteenth_Century_British_Library_Newspapers","Ask","Ask"
"Yes","19th Century US Newspapers","Gale Group","UofA","No","Yes","Yes","No","No","No","No","No","No","Yes","https://tal.scholarsportal.info/alberta/Nineteenth_Century_US_Newspapers","Ask","Ask"
"Yes","ABC-CLIO History Reference","ABC-CLIO","UofA","No","No","Yes","No","No","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/ABCCLIO_History_Reference","Ask","Ask"
"Yes","Access Engineering","McGraw-Hill","UofA","No","No","Yes","No","No","No","No","Yes","No","Yes","https://tal.scholarsportal.info/alberta/Access_Engineering","Ask","Ask"
"Yes","Access Medicine","McGraw-Hill","UofA_HKN","No","No","Yes","No","No","No","No","No","No","Yes","https://tal.scholarsportal.info/alberta/Access_Medicine","Ask","Ask"
"Yes","ACLS Humanities eBook","American Council of Learned Societies","UofA","No","No","Yes","No","No","No","No","No","No","Yes","https://tal.scholarsportal.info/alberta/ACLS_Humanities_eBook","Ask","Ask"
"Yes","ACM Digital Library","ACM Digital Library","UofA","No","No","Yes","No","No","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/ACM_Digital_Library","Ask","Ask"
"Yes","ACs Journals Web Ed","American Chemical Society","CRKN","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","https://tal.scholarsportal.info/alberta/ACs_Journals_Web_Ed","Ask","Ask"
"Yes","Adam Mathew","Adam Matthew","UofA","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/adam_mathew","Ask","Ask"
"Yes","Adam Matthew Digital","Adam Matthew","CRKN","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/Adam_Matthew_Digital","Ask","Ask"
"Yes","AgEcon","University of Minnesota Department of Applied Economics","UofA","No","No","Yes","No","No","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/AgEcon","Ask","Ask"
"Yes","Alexander Street Press","Alexander Street Press","UofA","No","No","Yes","No","Yes","No","Ask","No","Ask","Yes","https://tal.scholarsportal.info/alberta/Alexander_Street_Press","Ask","Ask"
"Yes","Alexander Street Press [CRKN]","Alexander Street Press/Gibson Library Connections","UofA","Yes","Yes","Yes","No","Yes","No","Ask","Ask","Ask","Yes","https://tal.scholarsportal.info/alberta/Alexander_Street_Press_CRKN","Ask","Ask"
"Yes","American Academy of Pediatrics","American Academy of Pediatrics","UofA","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/American_Academy_of_Pediatrics","Ask","Ask"
"Yes","American Accounting Association","American Accounting Association","UofA","Yes","Yes","Yes","No","No","No","Ask","No","Ask","Yes","https://tal.scholarsportal.info/alberta/American_Accounting_Association","Ask","Ask"
"Yes","American Association for Cancer Research","American Association for Cancer Research","UofA","No","No","Yes","No","No","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/AmericanAssociationCancerResearch","Ask","Ask"
"Yes","American Chemical Society Web Editions","American Chemical Society","CRKN","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","https://tal.scholarsportal.info/alberta/American_Chemical_Society_Web_Editions","Ask","Ask"
"Yes","American College of Chest Physicians","American College of Chest Physicians","UofA","No","No","Yes","No","No","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/American_College_of_Chest_Physicians","Ask","Ask"
"Yes","American Dental Association","American Dental Association","UofA","No","No","Yes","No","No","No","Ask","No","Ask","Yes","https://tal.scholarsportal.info/alberta/American_Dental_Association","Ask","Ask"
"Yes","American Dental Education Association","American Dental Education Association","UofA","No","No","Yes","No","No","No","Ask","No","Ask","Yes","https://tal.scholarsportal.info/alberta/American_Dental_Education_Association","Ask","Ask"
"Yes","American Diabetes Association","American Diabetes Association","UofA","No","No","Yes","No","No","No","No","No","No","Yes","https://tal.scholarsportal.info/alberta/American_Diabetes_Association","Ask","Ask"
"Yes","American Economic Association","American Economic Association","UofA","Yes","Yes","Yes","No","No","No","No","No","No","Yes","https://tal.scholarsportal.info/alberta/American_Economic_Association","Ask","Ask"
"Yes","American Heart Association","American Heart Association","UofA","No","No","Yes","No","No","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/American_Heart_Association","Ask","Ask"
"Yes","American Institute of Aeronautics and Astronautics","American Institute of Aeronautics and Astronautics","UofA","No","No","Yes","No","Yes","No","Ask","No","Ask","No","https://tal.scholarsportal.info/alberta/American_Institute_of_Aeronautics_and_Astronautics","Ask","Ask"
"Yes","American Institute of Mathematical Sciences","American Institute of Mathematical Sciences","UofA","No","No","Yes","No","No","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/American_Institute_of_Mathematical_Sciences","Ask","Ask"
"Yes","American Institute of Physics","American Institute of Physics","UofA","Yes","Yes","Yes","No","Yes","No","Ask","No","Ask","Yes","https://tal.scholarsportal.info/alberta/American_Institute_of_Physics","Ask","Ask"
"Yes","American Mathematical Society","American Mathematical Society","UofA","No","No","Yes","No","No","No","Yes","No","No","Yes","https://tal.scholarsportal.info/alberta/American_Mathematical_Society","Ask","Ask"
"Yes","American Medical Association","American Medical Association","UofA","Yes","No","Yes","No","No","No","Ask","No","Ask","Yes","https://tal.scholarsportal.info/alberta/American_Medical_Association","Ask","Ask"
"Yes","American Meteorological Society","American Meteorological Society","UofA","No","No","Yes","No","No","No","Ask","No","Ask","Yes","https://tal.scholarsportal.info/alberta/American_Meteorological_Society","Ask","Ask"
"Yes","American Museum of Natural History Library","","","No","No","Yes","No","No","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/American_Museum_NH","Ask","Ask"
"Yes","American Physical Society Journals","American Physical Society","UofA","Yes","Yes","Yes","No","No","No","Ask","No","Ask","Yes","https://tal.scholarsportal.info/alberta/American_Physical_Society_Journals","Ask","Ask"
"Yes","American Physiological Society","American Physiological Society","UofA","No","No","Yes","No","No","No","Yes","No","Yes","Yes","https://tal.scholarsportal.info/alberta/American_Physiological_Society","Ask","Ask"
"Yes","American Phytopathological Society","American Phytopathological Society","UofA","No","No","Yes","No","No","No","Ask","No","Ask","Yes","https://tal.scholarsportal.info/alberta/American_Phytopathological_Society","Ask","Ask"
