[SFX Service Target - No Coral match required),[SFX Service Target - No Coral match required),<span class=\'nofulltext\'>This item is not in the catalogue.</span>,,
[SFX Service Target - No Coral match required),DOI,DOI,,
[SFX Service Target - No Coral match required),LOCAL_CATALOGUE_SIRSI_UNICORN,the Library Catalogue,,
[SFX Service Target - No Coral match required),MESSAGE_CURRENT_ACCESS_LCL,<span class=\'nofulltext\'>No full text is available because of a publisher\'s <a href=\'http://www.library.ualberta.ca/getit/faq/#Embargo\'>embargo</a> on electronic access to older issues</span>,,
[SFX Service Target - No Coral match required),MESSAGE_EMBARGO_PAB_LCL,<span class=\'nofulltext\'>Note that recently-published articles may be <a href=\'http://www.library.ualberta.ca/getit/faq/#Embargo\'>embargoed</a></span>,,
[SFX Service Target - No Coral match required),MESSAGE_EMBARGO2_PAB_LCL,<span class=\'nofulltext\'>No full text is available because of a publisher\'s <a href=\'http://www.library.ualberta.ca/getit/faq/#Embargo\'>embargo</a> on electronic access to new issues</span>,,
[SFX Service Target - No Coral match required),MESSAGE_NO_DOCDEL_LCL,<span class=\'nofulltext\'>Please use the full text or catalogue links.</span>,,
[SFX Service Target - No Coral match required),MESSAGE_NO_FULLTXT,<span class=\'nofulltext\'>Online full text is not available for this item.</span>,,
[SFX Service Target - No Coral match required),DOCDEL_CISTI,CISTI,,
[SFX Service Target - No Coral match required),DOCDEL_RELAIS,RELAIS_DDL,,
19th Century Masterfile,,,,
AAPG Datapages (American Association of Petroleum Geologists),,,,
ABC-CLIO,ABC_CLIO_HISTORY_REFERENCE_ONLINE_COMPLETE,ABC-CLIO History Reference Online Complete,ABC-CLIO History Reference,<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=ABCCLIO_History_Reference" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

Academic Rights Press (Academic Charts Online),,,,
Access Engineering (UofA),MCGRAW_HILL_ACCESS_ENGINEERING,McGraw-Hill\'s AccessEngineering,Access Engineering,<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=Access_Engineering" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

ACLS History E-Book Project,ACLS_HUMANITIES_EBOOK,ACLS Humanities eBook,ACLS Humanities eBook,<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=ACLS_Humanities_eBook" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

ACM Digital Library,ACM_DIGITAL_LIBRARY,ACM Digital Library,ACM Digital Library,<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=ACM_Digital_Library" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

"Acsess (Alliance of Crop, Soil, and Environmental Science Societies)",,,,
Adam Mathew Publications,ADAM_MATTHEW_DIGITAL_EIGHTEENTH_CENTURY_JOURNALS_3,Digital Eighteenth Century Journals 3 ,Adam Matthew [UofA],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=adam_mathew" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

Adam Mathew Publications,ADAM_MATTHEW_DIGITAL_EIGHTEENTH_CENTURY_JOURNALS_4,Digital Eighteenth Century Journals 4,Adam Matthew [UofA],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=adam_mathew" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

Adam Mathew Publications,ADAM_MATTHEW_DIGITAL_EIGHTEENTH_CENTURY_JOURNALS_5,Digital Eighteenth Century Journals 5,Adam Matthew [UofA],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=adam_mathew" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

Adam Mathew Publications,ADAM_MATTHEW_DIGITAL_EVERYDAY_LIFE_AND_WOMEN_IN_AMERICA,Everyday Life and Women in America, c.1800-1920 ",Adam Matthew [UofA],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=adam_mathew" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

Adam Mathew Publications,ADAM_MATTHEW_DIGITAL_LONDON_LOW_LIFE,Adam Matthew London Low Life,Adam Matthew [UofA],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=adam_mathew" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

Adam Mathew Publications,ADAM_MATTHEW_DIGITAL_VICTORIAN_POPULAR_CULTURE,Victorian Popular Culture,Adam Matthew [UofA],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=adam_mathew" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

